"","Kernel","Parameter1","MSE"
"2","Mexican",0.1,689271.144474805
"3","Mexican",0.15,574713.122130467
"4","Mexican",0.2,1519545.04729642
"5","Mexican",0.25,1367138.69986015
"6","Mexican",0.3,942807.819658093
"7","Mexican",0.35,495003.66247412
"8","Mexican",0.4,214990.291325677
"9","Mexican",0.45,66199.67818574
"10","Mexican",0.5,8440.7725055381
"11","Mexican",0.55,6.67690813060539
"12","Mexican",0.6,7.06792417496295
"13","Mexican",0.65,6.69701502320582
"14","Mexican",0.7,6.50594247696618
"15","Mexican",0.75,6.35870809148742
"16","Mexican",0.8,6.26581999325179
"17","Mexican",0.85,6.24340707484527
"18","Mexican",0.9,6.21551874056481
"19","Mexican",0.95,6.20636097358197
"20","Mexican",1,6.21607024073925
"21","Mexican",1.05,6.22945027695208
"22","Mexican",1.1,6.24591742525769
"23","Mexican",1.15,6.24849077419393
"24","Mexican",1.2,6.21972425472497
"25","Mexican",1.25,6.20438846797211
"26","Mexican",1.3,6.20002463474253
"27","Mexican",1.35,6.19204473805979
"28","Mexican",1.4,6.18673811269499
"29","Mexican",1.45,6.18454308266159
"30","Mexican",1.5,6.17871674396711
"31","Mexican",1.55,6.17873090136696
"32","Mexican",1.6,6.18795694476185
"33","Mexican",1.65,6.18630803915657
"34","Mexican",1.7,6.18435635493454
"35","Mexican",1.75,6.18540049653678
"36","Mexican",1.8,6.18103890319135
"37","Mexican",1.85,6.18422980467531
"38","Mexican",1.9,6.18455513620436
"39","Mexican",1.95,6.18781762825749
"40","Mexican",2,6.17073192024816
"41","Mexican",2.05,6.15192636660908
"42","Mexican",2.1,6.15076096515559
"43","Mexican",2.15,6.15353991811743
"44","Mexican",2.2,6.14700275954881
"45","Mexican",2.25,6.14844580911842
"46","Mexican",2.3,6.14737835164653
"47","Mexican",2.35,6.13574252864819
"48","Mexican",2.4,6.13983903035018
"49","Mexican",2.45,6.13970136400722
"50","Mexican",2.5,6.13992138134113
"51","Mexican",2.55,6.14156932400764
"52","Mexican",2.6,6.12288685908393
"53","Mexican",2.65,6.1091259128342
"54","Mexican",2.7,6.11680427222402
"55","Mexican",2.75,6.11542062431339
"56","Mexican",2.8,6.10551098672695
"57","Mexican",2.85,6.09449858157704
"58","Mexican",2.9,6.08578504742873
"59","Mexican",2.95,6.07915106412629
"60","Mexican",3,6.07125064405165
"61","Mexican",3.05,6.06327930795276
"62","Mexican",3.1,6.05785464448865
"63","Mexican",3.15,6.05278233682449
"64","Mexican",3.2,6.05225834755399
"65","Mexican",3.25,6.04438572621035
"66","Mexican",3.3,6.04602915800525
"67","Mexican",3.35,6.03814875188433
"68","Mexican",3.4,6.03873132845984
"69","Mexican",3.45,6.03529986942905
"70","Mexican",3.5,6.03174495606876
"71","Mexican",3.55,6.03382538105153
"72","Mexican",3.6,6.03466140967711
"73","Mexican",3.65,6.03525529222188
"74","Mexican",3.7,6.04219798008014
"75","Mexican",3.75,6.05183272663551
"76","Mexican",3.8,6.05823081630586
"77","Mexican",3.85,6.06868661823961
"78","Mexican",3.9,6.06919891844174
"79","Mexican",3.95,6.07681416444334
"80","Mexican",4,6.083200089363
"81","Mexican",4.05,6.09200881007642
"82","Mexican",4.1,6.08908780438316
"83","Mexican",4.15,6.08927429140814
"84","Mexican",4.2,6.08580946326228
"85","Mexican",4.25,6.08533971292451
"86","Mexican",4.3,6.08009909440626
"87","Mexican",4.35,6.07704522485344
"88","Mexican",4.4,6.0745968392159
"89","Mexican",4.45,6.06991424421489
"90","Mexican",4.5,6.07183038828207
"91","Mexican",4.55,6.06914285926538
"92","Mexican",4.6,6.06512758790892
"93","Mexican",4.65,6.06848469113132
"94","Mexican",4.7,6.06845402878825
"95","Mexican",4.75,6.06598245645206
"96","Mexican",4.8,6.06779317395911
"97","Mexican",4.85,6.06389954676388
"98","Mexican",4.9,6.06394756726125
"99","Mexican",4.95,6.06437495836743
"100","Mexican",5,6.06027553242014
