"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","Continente não especificado",1989-01-01,1,0,0,0,100,NA
"2","Continente não especificado",1989-02-01,1,0,0,0,84,NA
"3","Continente não especificado",1989-03-01,0,0,1,0,145,0.61
"4","Continente não especificado",1989-04-01,0,0,1,0,153,0.0952380952380952
"5","Continente não especificado",1989-05-01,0,0,1,0,95,-0.4
"6","Continente não especificado",1989-06-01,0,0,0,1,151,0.366013071895425
"7","Continente não especificado",1989-07-01,0,0,0,1,112,-0.410526315789474
"8","Continente não especificado",1989-08-01,0,0,0,1,215,0.682119205298013
"9","Continente não especificado",1989-09-01,0,1,0,0,178,-0.330357142857143
"10","Continente não especificado",1989-10-01,0,1,0,0,360,0.846511627906977
"11","Continente não especificado",1989-11-01,0,1,0,0,223,-0.769662921348315
"12","Continente não especificado",1989-12-01,1,0,0,0,275,0.144444444444444
"13","Continente não especificado",1990-01-01,1,0,0,0,438,0.730941704035874
"14","Continente não especificado",1990-02-01,1,0,0,0,447,0.0327272727272727
"15","Continente não especificado",1990-03-01,0,0,1,0,452,0.0114155251141553
"16","Continente não especificado",1990-04-01,0,0,1,0,227,-0.503355704697987
"17","Continente não especificado",1990-05-01,0,0,1,0,339,0.247787610619469
"18","Continente não especificado",1990-06-01,0,0,0,1,90,-1.09691629955947
"19","Continente não especificado",1990-07-01,0,0,0,1,152,0.182890855457227
"20","Continente não especificado",1990-08-01,0,0,0,1,80,-0.8
"21","Continente não especificado",1990-09-01,0,1,0,0,130,0.328947368421053
"22","Continente não especificado",1990-10-01,0,1,0,0,207,0.9625
"23","Continente não especificado",1990-11-01,0,1,0,0,230,0.176923076923077
"24","Continente não especificado",1990-12-01,1,0,0,0,264,0.164251207729469
"25","Continente não especificado",1991-01-01,1,0,0,0,91,-0.752173913043478
"26","Continente não especificado",1991-02-01,1,0,0,0,89,-0.00757575757575758
"27","Continente não especificado",1991-03-01,0,0,1,0,96,0.0769230769230769
"28","Continente não especificado",1991-04-01,0,0,1,0,89,-0.0786516853932584
"29","Continente não especificado",1991-05-01,0,0,1,0,133,0.458333333333333
"30","Continente não especificado",1991-06-01,0,0,0,1,192,0.662921348314607
"31","Continente não especificado",1991-07-01,0,0,0,1,147,-0.338345864661654
"32","Continente não especificado",1991-08-01,0,0,0,1,118,-0.151041666666667
"33","Continente não especificado",1991-09-01,0,1,0,0,116,-0.0136054421768707
"34","Continente não especificado",1991-10-01,0,1,0,0,245,1.09322033898305
"35","Continente não especificado",1991-11-01,0,1,0,0,270,0.21551724137931
"36","Continente não especificado",1991-12-01,1,0,0,0,171,-0.404081632653061
"37","Continente não especificado",1992-01-01,1,0,0,0,228,0.211111111111111
"38","Continente não especificado",1992-02-01,1,0,0,0,147,-0.473684210526316
"39","Continente não especificado",1992-03-01,0,0,1,0,169,0.0964912280701754
"40","Continente não especificado",1992-04-01,0,0,1,0,104,-0.442176870748299
"41","Continente não especificado",1992-05-01,0,0,1,0,243,0.822485207100592
"42","Continente não especificado",1992-06-01,0,0,0,1,329,0.826923076923077
"43","Continente não especificado",1992-07-01,0,0,0,1,164,-0.679012345679012
"44","Continente não especificado",1992-08-01,0,0,0,1,138,-0.0790273556231003
"45","Continente não especificado",1992-09-01,0,1,0,0,170,0.195121951219512
"46","Continente não especificado",1992-10-01,0,1,0,0,267,0.702898550724638
"47","Continente não especificado",1992-11-01,0,1,0,0,390,0.723529411764706
"48","Continente não especificado",1992-12-01,1,0,0,0,162,-0.853932584269663
"49","Continente não especificado",1993-01-01,1,0,0,0,169,0.0179487179487179
"50","Continente não especificado",1993-02-01,1,0,0,0,275,0.654320987654321
"51","Continente não especificado",1993-03-01,0,0,1,0,115,-0.946745562130177
"52","Continente não especificado",1993-04-01,0,0,1,0,214,0.36
"53","Continente não especificado",1993-05-01,0,0,1,0,108,-0.921739130434783
