;Kernel;Parameter1;Parameter2;MSE
420;Polinomial;1.2;5;3.351945577
417;Polinomial;1.05;5;3.358270491
421;Polinomial;1.25;5;3.359090189
416;Polinomial;1;5;3.361354092
418;Polinomial;1.1;5;3.362064325
419;Polinomial;1.15;5;3.364536729
415;Polinomial;0.95;5;3.370026954
413;Polinomial;0.85;5;3.371905773
414;Polinomial;0.9;5;3.374385946
412;Polinomial;0.8;5;3.388339122
422;Polinomial;1.3;5;3.39017814
393;Polinomial;4.8;4;3.435426526
423;Polinomial;1.35;5;3.447815864
392;Polinomial;4.75;4;3.466091019
389;Polinomial;4.6;4;3.466308011
386;Polinomial;4.45;4;3.466446581
411;Polinomial;0.75;5;3.466473977
396;Polinomial;4.95;4;3.467541313
383;Polinomial;4.3;4;3.467602393
375;Polinomial;3.9;4;3.469915122
395;Polinomial;4.9;4;3.470226413
366;Polinomial;3.45;4;3.470726433
387;Polinomial;4.5;4;3.470743718
379;Polinomial;4.1;4;3.471130025
368;Polinomial;3.55;4;3.47190739
394;Polinomial;4.85;4;3.472061853
376;Polinomial;3.95;4;3.472206767
380;Polinomial;4.15;4;3.472363399
353;Polinomial;2.8;4;3.473015722
381;Polinomial;4.2;4;3.473177129
360;Polinomial;3.15;4;3.473294307
374;Polinomial;3.85;4;3.473405874
351;Polinomial;2.7;4;3.473471117
372;Polinomial;3.75;4;3.474571345
367;Polinomial;3.5;4;3.474765941
361;Polinomial;3.2;4;3.474816888
378;Polinomial;4.05;4;3.474852065
370;Polinomial;3.65;4;3.474858882
332;Polinomial;1.75;4;3.475416295
347;Polinomial;2.5;4;3.475515143
328;Polinomial;1.55;4;3.475529654
334;Polinomial;1.85;4;3.475811973
341;Polinomial;2.2;4;3.475849173
350;Polinomial;2.65;4;3.475897188
343;Polinomial;2.3;4;3.475934921
340;Polinomial;2.15;4;3.475959063
345;Polinomial;2.4;4;3.475983468
359;Polinomial;3.1;4;3.476013225
346;Polinomial;2.45;4;3.476071535
338;Polinomial;2.05;4;3.476165552
336;Polinomial;1.95;4;3.476166809
342;Polinomial;2.25;4;3.476222991
339;Polinomial;2.1;4;3.476287391
356;Polinomial;2.95;4;3.476300869
349;Polinomial;2.6;4;3.476363983
329;Polinomial;1.6;4;3.476463985
333;Polinomial;1.8;4;3.476621533
331;Polinomial;1.7;4;3.476714133
330;Polinomial;1.65;4;3.476739698
337;Polinomial;2;4;3.476751679
335;Polinomial;1.9;4;3.476779946
344;Polinomial;2.35;4;3.477025322
348;Polinomial;2.55;4;3.477049068
358;Polinomial;3.05;4;3.477459456
354;Polinomial;2.85;4;3.47760422
369;Polinomial;3.6;4;3.477682461
365;Polinomial;3.4;4;3.477739676
357;Polinomial;3;4;3.477997192
355;Polinomial;2.9;4;3.478048233
352;Polinomial;2.75;4;3.478194657
362;Polinomial;3.25;4;3.47843901
373;Polinomial;3.8;4;3.478456185
364;Polinomial;3.35;4;3.47883895
363;Polinomial;3.3;4;3.479294239
385;Polinomial;4.4;4;3.479579084
371;Polinomial;3.7;4;3.48184494
377;Polinomial;4;4;3.482114048
391;Polinomial;4.7;4;3.484075657
397;Polinomial;5;4;3.484077346
326;Polinomial;1.45;4;3.487269472
325;Polinomial;1.4;4;3.487318281
324;Polinomial;1.35;4;3.487359457
327;Polinomial;1.5;4;3.487381017
384;Polinomial;4.35;4;3.487564953
323;Polinomial;1.3;4;3.488403565
322;Polinomial;1.25;4;3.488584363
321;Polinomial;1.2;4;3.495238444
317;Polinomial;1;4;3.507895222
318;Polinomial;1.05;4;3.507950628
319;Polinomial;1.1;4;3.508014191
320;Polinomial;1.15;4;3.508225177
424;Polinomial;1.4;5;3.544166821
473;Polinomial;3.85;5;3.598259771
463;Polinomial;3.35;5;3.598409834
453;Polinomial;2.85;5;3.600866391
457;Polinomial;3.05;5;3.601092279
467;Polinomial;3.55;5;3.601384729
437;Polinomial;2.05;5;3.601507668
442;Polinomial;2.3;5;3.60173318
434;Polinomial;1.9;5;3.601788104
427;Polinomial;1.55;5;3.601807067
446;Polinomial;2.5;5;3.601849292
433;Polinomial;1.85;5;3.601868917
435;Polinomial;1.95;5;3.601929123
466;Polinomial;3.5;5;3.601934435
425;Polinomial;1.45;5;3.601936426
441;Polinomial;2.25;5;3.601967839
448;Polinomial;2.6;5;3.601990876
443;Polinomial;2.35;5;3.602002117
429;Polinomial;1.65;5;3.602007527
436;Polinomial;2;5;3.602071082
426;Polinomial;1.5;5;3.602078202
438;Polinomial;2.1;5;3.602113603
431;Polinomial;1.75;5;3.602140113
444;Polinomial;2.4;5;3.602367752
440;Polinomial;2.2;5;3.602387432
439;Polinomial;2.15;5;3.602417733
452;Polinomial;2.8;5;3.602760225
445;Polinomial;2.45;5;3.602816914
456;Polinomial;3;5;3.603065199
450;Polinomial;2.7;5;3.603227792
474;Polinomial;3.9;5;3.603231949
455;Polinomial;2.95;5;3.60355944
449;Polinomial;2.65;5;3.603755003
432;Polinomial;1.8;5;3.603764179
469;Polinomial;3.65;5;3.604023101
447;Polinomial;2.55;5;3.604041544
430;Polinomial;1.7;5;3.604294618
451;Polinomial;2.75;5;3.604338967
428;Polinomial;1.6;5;3.604456185
465;Polinomial;3.45;5;3.604554808
459;Polinomial;3.15;5;3.605276743
461;Polinomial;3.25;5;3.605280257
464;Polinomial;3.4;5;3.609426983
486;Polinomial;4.5;5;3.613327365
488;Polinomial;4.6;5;3.615466088
410;Polinomial;0.7;5;3.617332593
477;Polinomial;4.05;5;3.622117279
454;Polinomial;2.9;5;3.627728577
462;Polinomial;3.3;5;3.631321296
479;Polinomial;4.15;5;3.635881232
316;Polinomial;0.95;4;3.639876991
470;Polinomial;3.7;5;3.658132807
468;Polinomial;3.6;5;3.662590314
