"","Continente","mes_ano","verao","primavera","outono","inverno","Chegadas","percent"
"1","América do Norte","1989-01-01",1,0,0,0,20285,NA
"2","América do Norte","1989-02-01",1,0,0,0,18127,NA
"3","América do Norte","1989-03-01",0,0,1,0,22453,1.0550736804007e-05
"4","América do Norte","1989-04-01",0,0,1,0,16070,-1.84514842941824e-05
"5","América do Norte","1989-05-01",0,0,1,0,13027,-9.34975517899582e-06
"6","América do Norte","1989-06-01",0,0,0,1,11358,-8.53153610828793e-06
"7","América do Norte","1989-07-01",0,0,0,1,10947,-2.82926961946877e-06
"8","América do Norte","1989-08-01",0,0,0,1,12619,1.25143659577701e-05
"9","América do Norte","1989-09-01",0,1,0,0,6942,-5.45915499434711e-05
"10","América do Norte","1989-10-01",0,1,0,0,12346,4.56250262724549e-05
"11","América do Norte","1989-11-01",0,1,0,0,17817,5.28408144238157e-05
"12","América do Norte","1989-12-01",1,0,0,0,14486,-1.67641658779117e-05
"13","América do Norte","1990-01-01",1,0,0,0,15615,4.21223129381534e-06
"14","América do Norte","1990-02-01",1,0,0,0,16431,3.5163470754281e-06
"15","América do Norte","1990-03-01",0,0,1,0,14492,-8.04182013684688e-06
"16","América do Norte","1990-04-01",0,0,1,0,10533,-1.94196084948223e-05
"17","América do Norte","1990-05-01",0,0,1,0,9949,-3.93604348931694e-06
"18","América do Norte","1990-06-01",0,0,0,1,8447,-1.55378994457291e-05
"19","América do Norte","1990-07-01",0,0,0,1,10317,2.01006806083908e-05
"20","América do Norte","1990-08-01",0,0,0,1,10754,4.9111824635074e-06
"21","América do Norte","1990-09-01",0,1,0,0,9358,-1.34773854747952e-05
"22","América do Norte","1990-10-01",0,1,0,0,12894,2.98056996879676e-05
"23","América do Norte","1990-11-01",0,1,0,0,15596,2.0330453540492e-05
"24","América do Norte","1990-12-01",1,0,0,0,12205,-1.90141745986838e-05
"25","América do Norte","1991-01-01",1,0,0,0,12679,2.44302242247297e-06
"26","América do Norte","1991-02-01",1,0,0,0,10335,-1.67481268670282e-05
"27","América do Norte","1991-03-01",0,0,1,0,13467,2.08775183637647e-05
"28","América do Norte","1991-04-01",0,0,1,0,12201,-9.55242698352279e-06
"29","América do Norte","1991-05-01",0,0,1,0,10376,-1.20310736302855e-05
"30","América do Norte","1991-06-01",0,0,0,1,9651,-5.93671912868976e-06
"31","América do Norte","1991-07-01",0,0,0,1,8934,-7.43998785611716e-06
"32","América do Norte","1991-08-01",0,0,0,1,9805,9.63923290004996e-06
"33","América do Norte","1991-09-01",0,1,0,0,6778,-4.13264368103256e-05
"34","América do Norte","1991-10-01",0,1,0,0,13640,7.1323261522739e-05
"35","América do Norte","1991-11-01",0,1,0,0,14026,4.11715811439984e-06
